population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,2,Percent,1981,0.0003485325288192034,0.0009081261659770272,0.00012248926375636661
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,1,Number,1981,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,2,Percent,1981,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1984,48439.20593464922,60289.07511129327,38005.36011709425
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1984,0.0010350183618635217,0.0013003785414566627,0.0008111994273031297
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,1,Number,1984,3100491.271520214,3561959.636314882,2707292.6360026663
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,2,Percent,1984,0.0662460050598387,0.07589581417055365,0.05791485277290683
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,1,Number,1984,1304850.9998153339,2197533.9190933215,579656.2485632311
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,2,Percent,1984,0.027879353717477198,0.0470251423205475,0.01241680101904411
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,1,Number,1984,713506.3940157609,1300348.9272463755,353344.1856313008
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,2,Percent,1984,0.015244773368585077,0.02770774784450314,0.007577412708167336
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1985,68792.39156123588,81334.00097921325,55652.757451588746
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1985,0.0014663858448635814,0.0017400591040583173,0.0011886128608509172
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,1,Number,1985,3102678.439698333,3521553.7705203556,2706624.726674132
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,2,Percent,1985,0.06613548292017593,0.07513255381777209,0.05781039123050764
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,1,Number,1985,1289722.6388931083,2173897.9375081304,562968.4893970111
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,2,Percent,1985,0.027491126213359283,0.046422659171062954,0.011952946000927011
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1986,97433.99787796776,113869.32665494269,83366.67123309306
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1986,0.0020781115707944123,0.0024186454619211754,0.0017746666267610788
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,1,Number,1986,3080173.7115261536,3495292.4216417465,2695215.9231027765
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,2,Percent,1986,0.06569513529080225,0.07452203819222618,0.057594892974127336
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,1,Number,1986,1268070.7789359498,2143149.662594741,557959.8503334713
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,2,Percent,1986,0.027046371252471432,0.04564730758117436,0.011894457505696985
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,1,Number,1984,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,2,Percent,1984,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,1,Number,1986,753770.6822865547,1368586.3725527122,362135.600436947
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,2,Percent,1986,0.016075622348358295,0.029166153880922776,0.007768313168947538
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,1,Number,1985,735921.5552534681,1349408.2090104008,360974.01619427174
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,2,Percent,1985,0.01568572320129879,0.02865028754413045,0.007750808692979503
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,1,Number,1986,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,2,Percent,1986,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,1,Number,1985,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,2,Percent,1985,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1987,137971.5640025721,156688.88353949008,120576.26790502128
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1987,0.0029359190517375864,0.0033282363164747353,0.002567738464007675
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,1,Number,1987,3045880.8468517377,3433774.4349399316,2685041.627209995
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,2,Percent,1987,0.06481285321618757,0.07325299128619293,0.05705857389049073
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,1,Number,1987,1234077.778757672,2060020.1438118971,542057.992215383
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,2,Percent,1987,0.026258924616432838,0.04389708709766313,0.011532955407560046
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,1,Number,1987,763653.9927973315,1407811.7489666652,375432.0777473614
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,2,Percent,1987,0.016249647633262126,0.02995347383999048,0.008020040511219116
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,1,Number,1982,16076.883227688324,45034.688693392105,6145.2067673373995
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,357,Dengue,2,Percent,1982,0.00035004245584820625,0.0009803700536206881,0.00013322272395142895
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,1,Number,1988,190706.60581103864,215838.43152516757,170113.12963506186
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,298,HIV/AIDS,2,Percent,1988,0.00402450286894893,0.004555683535054702,0.0035815183783046494
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,1,Number,1988,3027748.0895432406,3406919.1794623923,2686562.6165223205
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,322,Influenza,2,Percent,1988,0.06389573037707508,0.07176986461450663,0.05654065353327039
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,1,Number,1988,1194492.79888781,1980625.569272269,522756.2021137987
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,341,Measles,2,Percent,1988,0.025205153119949697,0.04178078325384834,0.011021611522299758
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,1,Number,1982,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,843,Ebola,2,Percent,1982,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,1,Number,1988,775266.852454766,1420432.0466396364,385358.65519460104
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,345,Malaria,2,Percent,1988,0.016361213372249876,0.030015262801108302,0.008173624772597097
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,1,Number,1987,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,2,Percent,1987,0.0,0.0,0.0
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,1048,COVID-19,1,Number,1988,0.0,0.0,0.0
